0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212
4,2,2,2,2,2,2,2,2,3,2,3,2,4,4,4,4,4,3,1,1,1,1,1,1,1,1,4,4,4,2,1,1,1,3,3,1,3,1,1,1,1,1,1,1,5,3,4,4,2,1,1,4,4,1,3,1,4,1,1,2,4,3,3,2,4,4,4,2,2,2,2,2,2,2,2,4,4,4,2,4,4,2,2,1,2,3,3,4,1,5,2,2,2,4,2,2,2,4,4,5,2,4,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,18,15,29,22,29,7,4,4,9,10,12,8,11,7,14,3,8,8,3,5,39.28571429,31.25,65.625,0,41.66666667,32.14285714,14.28571429,42.85714286,78.125,19,0,0,0,0,1,9,4,13,10,4,13,16,7,3,11
4,5,4,4,3,2,2,3,1,2,1,5,3,5,5,5,3,4,4,3,4,3,4,2,3,5,4,4,4,4,3,1,3,2,4,4,4,4,4,4,3,3,5,3,1,3,2,3,3,4,3,5,2,5,3,3,5,4,3,3,2,3,4,3,3,2,4,4,3,4,1,1,4,4,3,4,4,2,3,3,4,4,2,3,3,5,3,4,4,4,4,4,5,4,5,4,4,4,3,4,2,4,3,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,31,24,33,34,25,10,9,5,11,11,15,13,16,10,13,3,7,11,10,9,75,34.375,84.375,62.5,54.16666667,64.28571429,53.57142857,60.71428571,37.5,37,0,0,1,1,1,15,5,15,12,6,19,11,7,10,15
4,3,2,3,2,4,3,3,4,3,1,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,3,3,4,3,2,2,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,4,4,4,3,4,2,4,1,4,4,4,4,4,2,4,3,4,4,4,2,2,4,2,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,3,3,4,4,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,33,31,32,31,19,14,8,8,10,11,15,12,13,10,10,2,5,11,8,12,46.42857143,43.75,37.5,34.375,45.83333333,60.71428571,53.57142857,46.42857143,40.625,30,0,1,0,1,0,19,8,14,11,6,17,9,5,8,17
3,3,3,4,4,2,2,3,1,2,3,3,3,3,3,4,3,4,4,2,3,3,3,2,2,3,3,3,4,3,3,3,3,1,3,1,4,4,4,3,1,1,2,1,1,3,4,4,4,2,4,4,2,4,4,4,3,3,4,4,3,2,4,4,3,4,4,3,2,4,1,2,4,4,4,3,3,2,4,3,4,2,4,4,3,4,3,4,2,4,4,4,3,2,4,3,2,3,4,4,2,4,4,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,34,20,32,29,28,10,6,4,11,12,13,11,11,11,16,4,4,12,11,9,57.14285714,34.375,65.625,40.625,54.16666667,50,17.85714286,67.85714286,31.25,24,0,0,0,1,1,13,4,13,11,7,15,16,6,11,17
3,3,2,2,1,2,1,2,2,4,2,2,2,3,3,3,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,2,2,2,4,2,2,4,2,5,1,4,2,5,2,5,5,4,1,5,1,5,5,5,1,2,4,5,5,1,5,4,5,5,5,2,4,2,4,5,5,5,5,2,5,2,5,1,5,2,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,41,32,38,43,11,14,10,9,10,13,19,15,19,14,6,1,3,15,13,12,25,28.125,43.75,31.25,29.16666667,28.57142857,7.142857143,0,71.875,34,1,1,1,1,0,18,9,15,14,9,24,6,3,13,20
1,1,1,1,1,4,4,4,4,3,4,4,5,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,3,5,5,5,1,5,5,5,3,5,1,5,2,5,5,5,5,5,1,5,3,5,1,1,1,5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,46,35,39,41,16,15,10,10,13,15,16,15,20,11,12,1,2,15,15,15,7.142857143,75,46.875,43.75,12.5,14.28571429,0,0,75,28,1,1,1,1,0,20,10,18,15,6,25,8,2,15,21
2,3,2,4,3,1,2,5,2,3,2,4,4,2,2,3,2,3,3,2,3,4,2,3,3,4,4,2,2,2,3,1,2,1,1,2,3,5,3,3,4,1,2,4,1,3,2,2,3,3,4,1,3,3,2,3,3,4,2,2,3,2,3,2,2,3,3,3,3,2,3,1,4,3,2,3,4,2,3,3,4,4,4,3,2,2,4,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3,3,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,24,21,32,29,22,10,6,6,9,12,15,12,11,10,12,2,6,7,8,7,42.85714286,46.875,37.5,53.125,25,39.28571429,39.28571429,39.28571429,62.5,23,0,0,0,1,0,12,6,13,13,7,16,11,5,8,11
4,4,4,3,4,2,2,2,2,2,2,4,2,2,2,3,2,3,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,2,4,2,3,3,1,1,1,1,1,4,3,4,1,1,4,3,3,3,3,4,4,3,4,2,2,4,2,2,4,4,4,2,3,3,1,4,4,3,3,4,2,4,3,4,4,4,2,2,2,2,3,4,2,4,4,4,2,4,2,2,4,4,4,4,2,4,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,25,18,35,29,30,8,4,6,12,13,14,12,11,10,16,2,8,10,6,7,64.28571429,31.25,34.375,31.25,33.33333333,35.71428571,14.28571429,42.85714286,46.875,26,0,0,1,1,1,10,6,16,13,6,15,16,6,6,14
2,2,2,1,1,2,2,4,3,2,2,3,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,3,2,2,1,5,2,2,3,1,1,1,1,1,1,1,1,2,1,2,4,2,2,2,2,4,2,2,4,1,1,1,4,2,3,2,4,4,4,1,5,2,3,3,4,1,1,3,2,2,1,2,3,4,3,3,2,2,2,2,5,4,4,4,1,5,2,3,1,3,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,30,31,32,37,16,16,8,7,8,12,14,14,17,10,7,1,6,10,8,10,21.42857143,43.75,28.125,12.5,12.5,35.71428571,10.71428571,7.142857143,75,30,0,1,0,1,0,20,7,10,14,9,22,7,3,8,15
4,4,3,3,3,2,2,3,2,3,2,4,3,4,3,4,3,3,3,3,3,3,2,3,3,3,3,2,1,2,2,3,2,3,2,3,3,3,4,4,3,3,2,3,2,2,3,3,3,3,4,3,3,4,4,3,4,3,3,4,3,4,2,3,3,3,3,4,3,3,2,2,3,4,3,3,3,4,4,3,3,4,4,3,3,3,4,3,4,2,4,3,3,3,3,4,4,3,3,3,4,3,4,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,28,23,26,22,27,12,6,5,8,9,12,8,10,7,14,3,7,9,7,9,60.71428571,40.625,59.375,46.875,25,53.57142857,42.85714286,53.57142857,37.5,33,0,0,0,0,1,14,5,12,9,4,13,13,7,7,15
